Ticker,Company,MS,MBI,MB,CNN,BS
A,,True,True,True,True,True
AA,Alcoa Corp,True,True,True,True,True
AAALF,Aareal Bank AG,False,False,True,True,False
AAAP,Advanced Accelerator Applications SA,False,False,True,True,False
AABA,Altaba Inc,False,True,True,True,False
AABVF,Aberdeen International Inc,False,False,True,True,False
AAC,,False,True,True,False,True
AACAY,AAC Technologies Holdings Inc,False,False,True,True,False
AACG,ATA Creativity Global,False,True,False,True,False
AAL,American Airlines Group Inc,False,True,True,True,True
AAMC,Altisource Asset Management Corp,False,True,True,True,True
AAME,Atlantic American Corp,False,True,True,True,True
AAN,Aaron's Inc,True,True,True,True,True
AANNF,Aroundtown SA,False,False,True,True,False
AAOI,Applied Optoelectronics Inc,False,True,True,True,True
AAON,AAON Inc,False,True,True,True,True
AAP,Advance Auto Parts Inc,True,True,True,True,True
AAPJ,AAP Inc,False,True,False,True,False
AAPL,Apple Inc,False,True,True,True,True
AASL,America's Suppliers Inc,False,False,True,True,False
AASP,All-American SportPark Inc,False,False,True,True,False
AAT,American Assets Trust Inc,True,True,True,True,True
AATDF,AA PLC,False,False,True,True,False
AAU,Almaden Minerals Ltd,False,True,True,True,True
AAUKF,Anglo American PLC,False,False,True,True,False
AAVVF,Advantage Oil & Gas Ltd,False,False,True,True,False
AAWW,Atlas Air Worldwide Holdings Inc,False,True,True,True,True
AAXN,Axon Enterprise Inc,False,True,True,True,True
AB,AllianceBernstein Holding LP,True,True,True,True,True
ABAHF,Abacus Health Products Inc,False,False,True,True,False
ABAT,Advanced Battery Technologies Inc,False,False,True,False,False
ABAX,Abaxis Inc,False,False,True,False,False
ABB,ABB Ltd,True,True,True,True,True
ABBV,AbbVie Inc,True,True,True,True,True
ABC,AmerisourceBergen Corp,True,True,True,True,True
ABCB,Ameris Bancorp,False,True,True,True,True
ABCD,Cambium Learning Group Inc,False,True,True,False,False
ABCP,Ambase Corp,False,False,True,True,False
ABCZY,Abcam PLC,False,False,True,True,False
ABDC,Alcentra Capital Corp,False,True,True,False,False
ABDNY,Aberdeen Asset Management PLC,False,False,True,False,False
ABEC,Analytica Bio-Energy Corp,False,False,True,True,False
ABEO,Abeona Therapeutics Inc,False,True,True,True,True
ABEV,Ambev SA,True,True,True,True,True
ABG,Asbury Automotive Group Inc,True,True,True,True,True
ABGBY,Abengoa SA,False,False,True,False,False
ABGLF,Acacia Mining PLC,False,False,True,True,False
ABGLY,Acacia Mining PLC,False,False,True,False,False
ABGOY,Abengoa SA,False,False,True,True,False
ABHD,Abtech Holdings Inc,False,False,True,False,False
ABIL,,False,True,True,True,True
ABIO,ARCA biopharma Inc,False,True,True,True,False
ABLX,Ablynx NV,False,False,True,False,False
ABLYF,Ablynx NV,False,False,True,False,False
ABM,ABM Industries Inc,True,True,True,True,True
ABMC,American Bio Medica Corp,False,True,True,True,False
ABMD,Abiomed Inc,False,True,True,True,True
ABML,American Battery Metals Corporation,False,False,True,True,False
ABMRF,ABN AMRO Bank NV,False,False,True,False,False
ABNAF,Aben Resources Ltd,False,False,True,True,False
ABNK,AltaPacific Bancorp,False,False,True,False,False
ABQQ,AB International Group Corp,False,False,True,True,False
ABR,Arbor Realty Trust Inc,True,True,True,True,True
ABSCF,AB Science,False,False,True,True,False
ABSSF,AirBoss of America Corp,False,False,True,True,False
ABT,Abbott Laboratories,True,True,True,True,True
ABTX,Allegiance Bancshares Inc,False,True,True,True,True
ABUS,Arbutus Biopharma Corp,False,True,True,True,True
ABVC,American BriVision Holding Corp,False,False,True,True,False
AC,Associated Capital Group Inc,True,True,True,True,True
ACA,Arcosa Inc,True,True,True,True,False
ACAD,ACADIA Pharmaceuticals Inc,False,True,True,True,True
ACAM,Acamar Partners Acquisition Corp,False,True,False,True,False
ACAMU,,False,True,True,True,False
ACAN,Americann Inc,False,False,True,True,False
ACAS,American Capital Ltd,False,False,True,False,False
